recordID,datasetID,datasetName,dateStart,dateEnd,temporalSpan,temporalSpanOrigin,nr of traps,effort,effortUnit,latitude,longitude,latLonUnit,precisionInMeters, area ,areaUnit,areaOrigin,countryCode,stateProvince,locality,species latin,species english,presence,abundance,original units
29,142,Buffer zone use by mammals in a Cerrado protected area,01/04/2013,01/09/2013,153,C,18,"3,150",camera trap days,-21.599636,-47.766685,dec,,216.72,km2,M,Brazil,Sao Paulo state,Jataí Ecological Station and Luiz Antonio Experimental Station with buffer zone,Leopardus pardalis,Ocelot,1,63,NOIR
30,142,Buffer zone use by mammals in a Cerrado protected area,01/04/2013,01/09/2013,153,C,18,"3,150",camera trap days,-21.599636,-47.766685,dec,,216.72,km2,M,Brazil,Sao Paulo state,Jataí Ecological Station and Luiz Antonio Experimental Station with buffer zone,Herpailurus yagouaroundi,Jaguarundi,1,13,NOIR
31,142,Buffer zone use by mammals in a Cerrado protected area,01/04/2013,01/09/2013,153,C,18,"3,150",camera trap days,-21.599636,-47.766685,dec,,216.72,km2,M,Brazil,Sao Paulo state,Jataí Ecological Station and Luiz Antonio Experimental Station with buffer zone,Puma concolor,Puma,1,98,NOIR
32,142,Buffer zone use by mammals in a Cerrado protected area,01/04/2013,01/09/2013,153,C,18,"3,150",camera trap days,-21.599636,-47.766685,dec,,216.72,km2,M,Brazil,Sao Paulo state,Jataí Ecological Station and Luiz Antonio Experimental Station with buffer zone,Eira barbara,Tayra,1,38,NOIR
33,142,Buffer zone use by mammals in a Cerrado protected area,01/04/2013,01/09/2013,153,C,18,"3,150",camera trap days,-21.599636,-47.766685,dec,,216.72,km2,M,Brazil,Sao Paulo state,Jataí Ecological Station and Luiz Antonio Experimental Station with buffer zone,Conepatus semistriatus,Striped hog-nosed skunk,1,36,NOIR
34,142,Buffer zone use by mammals in a Cerrado protected area,01/04/2013,01/09/2013,153,C,18,"3,150",camera trap days,-21.599636,-47.766685,dec,,216.72,km2,M,Brazil,Sao Paulo state,Jataí Ecological Station and Luiz Antonio Experimental Station with buffer zone,Nasua nasua,South American coati,1,47,NOIR
35,142,Buffer zone use by mammals in a Cerrado protected area,01/04/2013,01/09/2013,153,C,18,"3,150",camera trap days,-21.599636,-47.766685,dec,,216.72,km2,M,Brazil,Sao Paulo state,Jataí Ecological Station and Luiz Antonio Experimental Station with buffer zone,Procyon cancrivorus,Crab-eating raccoon,1,1,NOIR
36,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Atelocynus microtis,Short-eared dog,1,16,NOIR
37,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Leopardus pardalis,Ocelot,1,4,NOIR
38,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Leopardus tigrinus,Oncilla,1,7,NOIR
39,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Leopardus wiedii,Margay,1,24,NOIR
40,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Panthera onca,Jaguar,1,90,NOIR
41,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Herpailurus yagouaroundi,Jaguarundi,1,4,NOIR
42,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Puma concolor,Puma,1,20,NOIR
43,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Eira barbara,Tayra,1,15,NOIR
44,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Mustela frenata,Long-tailed weasel,1,2,NOIR
45,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Bassaricyon alleni,Eastern lowland olingo,1,1,NOIR
46,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Nasua nasua,South American coati,1,40,NOIR
47,116,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,01/03/2015,01/09/2016,550,C,20,"6,490",camera trap days,-9.314335,-74.788291,dec,,0.02,km2,C,Peru,Huánuco,Sira Communal Reserve,Tremarctos ornatus,Spectacled bear ,1,15,NOIR
48,38,"Camera traps as a tool for carnivore conservation in a mosaic of protected areas in the Pantanal wetlands, Brazil",01/08/2011,01/09/2013,562,G,119,"12,703",camera trap days,-18.248681,-57.477708,dec,,207.72,km2,M,Brazil,Mato Grosso do Sul,Amolar Mountain Ridge: Santa Tereza Ranch (STR) and Engenheiro Eliezer Batista ProtectedArea (EEB),Cerdocyon thous,Crab-eating fox,1,385,NOIR
49,38,"Camera traps as a tool for carnivore conservation in a mosaic of protected areas in the Pantanal wetlands, Brazil",01/08/2011,01/09/2013,562,G,119,"12,703",camera trap days,-18.248681,-57.477708,dec,,207.72,km2,M,Brazil,Mato Grosso do Sul,Amolar Mountain Ridge: Santa Tereza Ranch (STR) and Engenheiro Eliezer Batista ProtectedArea (EEB),Leopardus pardalis,Ocelot,1,176,NOIR
50,38,"Camera traps as a tool for carnivore conservation in a mosaic of protected areas in the Pantanal wetlands, Brazil",01/08/2011,01/09/2013,562,G,119,"12,703",camera trap days,-18.248681,-57.477708,dec,,207.72,km2,M,Brazil,Mato Grosso do Sul,Amolar Mountain Ridge: Santa Tereza Ranch (STR) and Engenheiro Eliezer Batista ProtectedArea (EEB),Panthera onca,Jaguar,1,122,NOIR
51,38,"Camera traps as a tool for carnivore conservation in a mosaic of protected areas in the Pantanal wetlands, Brazil",01/08/2011,01/09/2013,562,G,119,"12,703",camera trap days,-18.248681,-57.477708,dec,,207.72,km2,M,Brazil,Mato Grosso do Sul,Amolar Mountain Ridge: Santa Tereza Ranch (STR) and Engenheiro Eliezer Batista ProtectedArea (EEB),Puma concolor,Puma,1,47,NOIR
52,38,"Camera traps as a tool for carnivore conservation in a mosaic of protected areas in the Pantanal wetlands, Brazil",01/08/2011,01/09/2013,562,G,119,"12,703",camera trap days,-18.248681,-57.477708,dec,,207.72,km2,M,Brazil,Mato Grosso do Sul,Amolar Mountain Ridge: Santa Tereza Ranch (STR) and Engenheiro Eliezer Batista ProtectedArea (EEB),Herpailurus yagouaroundi,Jaguarundi,1,15,NOIR
53,38,"Camera traps as a tool for carnivore conservation in a mosaic of protected areas in the Pantanal wetlands, Brazil",01/08/2011,01/09/2013,562,G,119,"12,703",camera trap days,-18.248681,-57.477708,dec,,207.72,km2,M,Brazil,Mato Grosso do Sul,Amolar Mountain Ridge: Santa Tereza Ranch (STR) and Engenheiro Eliezer Batista ProtectedArea (EEB),Nasua nasua,South American coati,1,13,NOIR
54,38,"Camera traps as a tool for carnivore conservation in a mosaic of protected areas in the Pantanal wetlands, Brazil",01/08/2011,01/09/2013,562,G,119,"12,703",camera trap days,-18.248681,-57.477708,dec,,207.72,km2,M,Brazil,Mato Grosso do Sul,Amolar Mountain Ridge: Santa Tereza Ranch (STR) and Engenheiro Eliezer Batista ProtectedArea (EEB),Eira barbara,Tayra,1,4,NOIR
55,38,"Camera traps as a tool for carnivore conservation in a mosaic of protected areas in the Pantanal wetlands, Brazil",01/08/2011,01/09/2013,562,G,119,"12,703",camera trap days,-18.248681,-57.477708,dec,,207.72,km2,M,Brazil,Mato Grosso do Sul,Amolar Mountain Ridge: Santa Tereza Ranch (STR) and Engenheiro Eliezer Batista ProtectedArea (EEB),Procyon cancrivorus,Crab-eating raccoon,1,2,NOIR
56,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Panthera onca,Jaguar,0,0,NOIR
57,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Puma concolor,Puma,1,47,NOIR
58,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Leopardus pardalis,Ocelot,1,47,NOIR
59,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Canis latrans,Coyote,1,33,NOIR
60,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Herpailurus yagouaroundi,Jaguarundi,1,5,NOIR
61,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Eira barbara,Tayra,1,34,NOIR
62,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Leopardus wiedii,Margay,0,0,NOIR
63,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Leopardus tigrinus,Oncilla,1,4,NOIR
64,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Conepatus semistriatus,Striped hog-nosed skunk,1,25,NOIR
65,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Nasua narica,White-nosed coati,1,25,NOIR
66,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,03/07/2012,30/03/2015,1000,C,6,"3,978",camera trap days,9.5633,-83.7839,dec,,0.075,km2,G,Costa Rica,San José Province,Alexander Skutch Biological Corridor (CoBAS),Procyon lotor,Raccoon,1,21,NOIR
67,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Panthera onca,Jaguar,0,0,NOIR
68,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Puma concolor,Puma,0,0,NOIR
69,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Leopardus pardalis,Ocelot,1,2,NOIR
70,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Canis latrans,Coyote,0,0,NOIR
71,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Herpailurus yagouaroundi,Jaguarundi,0,0,NOIR
72,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Eira barbara,Tayra,1,6,NOIR
73,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Leopardus wiedii,Margay,0,0,NOIR
74,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Leopardus tigrinus,Oncilla,1,2,NOIR
75,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Conepatus semistriatus,Striped hog-nosed skunk,0,0,NOIR
76,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Nasua narica,White-nosed coati,1,21,NOIR
77,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,21/06/2016,19/02/2017,243,C,4,606,camera trap days,9.265,-83.421,dec,,0.045,km2,G,Costa Rica,Puntarenas Province,Bosque de Agua Biological Corridor (CoBBA) ,Procyon lotor,Raccoon,1,9,NOIR
78,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,17/07/2015,25/08/2018,1135,C,6,"2,041",camera trap days,9.582,-85.101,dec,,0.075,km2,G,Costa Rica,Puntarenas Province,Cabo Blanco National Park (PNCB) ,Panthera onca,Jaguar,0,0,NOIR
79,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,17/07/2015,25/08/2018,1135,C,6,"2,041",camera trap days,9.582,-85.101,dec,,0.075,km2,G,Costa Rica,Puntarenas Province,Cabo Blanco National Park (PNCB) ,Puma concolor,Puma,0,0,NOIR
80,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,17/07/2015,25/08/2018,1135,C,6,"2,041",camera trap days,9.582,-85.101,dec,,0.075,km2,G,Costa Rica,Puntarenas Province,Cabo Blanco National Park (PNCB) ,Leopardus pardalis,Ocelot,1,33,NOIR
81,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,17/07/2015,25/08/2018,1135,C,6,"2,041",camera trap days,9.582,-85.101,dec,,0.075,km2,G,Costa Rica,Puntarenas Province,Cabo Blanco National Park (PNCB) ,Canis latrans,Coyote,1,29,NOIR
82,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,17/07/2015,25/08/2018,1135,C,6,"2,041",camera trap days,9.582,-85.101,dec,,0.075,km2,G,Costa Rica,Puntarenas Province,Cabo Blanco National Park (PNCB) ,Herpailurus yagouaroundi,Jaguarundi,1,4,NOIR
83,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,17/07/2015,25/08/2018,1135,C,6,"2,041",camera trap days,9.582,-85.101,dec,,0.075,km2,G,Costa Rica,Puntarenas Province,Cabo Blanco National Park (PNCB) ,Eira barbara,Tayra,1,21,NOIR
84,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,17/07/2015,25/08/2018,1135,C,6,"2,041",camera trap days,9.582,-85.101,dec,,0.075,km2,G,Costa Rica,Puntarenas Province,Cabo Blanco National Park (PNCB) ,Leopardus wiedii,Margay,1,2,NOIR
85,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,17/07/2015,25/08/2018,1135,C,6,"2,041",camera trap days,9.582,-85.101,dec,,0.075,km2,G,Costa Rica,Puntarenas Province,Cabo Blanco National Park (PNCB) ,Leopardus tigrinus,Oncilla,1,9,NOIR
86,10,Circadian activity patterns of mammalian predators and prey in Costa Rica,17/07/2015,25/08/2018,1135,C,6,"2,041",camera trap days,9.582,-85.101,dec,,0.075,km2,G,Costa Rica,Puntarenas Province,Cabo Blanco National Park (PNCB) ,Conepatus semistriatus,Striped hog-nosed skunk,1,3,NOIR
